Uid,Contact uid,Subject,Body
1,1,Welcome to our service,"Hello Mr. We hope to continue doing business with you in the future. Sincerely,"
2,2,Price Notice,"Hello Mr. Season tickets for this year's symphony are going on sale next month and we wanted you to be among the first to know. Sincerely,"
3,3,Thank you for purchase,"Dear Mr. Thank you for purchasing the starter pack of Agel. Sincerely,"
4,4,Marketing Discussion,Hi.Let's get on a call this Wednesday to discuss how we can improve our joint marketing efforts. What time works best for you?
5,5,Meeting @Mon,Hi.Monday should work well.
6,6,Get In Touch,"Thank you for getting in touch with us here! We are excited to learn more about your business. Do you have some free time next week, perhaps Tuesday or Wednesday?"
7,7,Welcome to our service,"Hello Mr. We hope to continue doing business with you in the future. Sincerely,"
8,8,Price Notice,"Hello Mr. Season tickets for this year's symphony are going on sale next month and we wanted you to be among the first to know. Sincerely,"
9,9,Thank you for purchase,"Dear Mr. Thank you for purchasing the starter pack of Agel. Sincerely,"
10,10,Marketing Discussion,Hi.Let's get on a call this Wednesday to discuss how we can improve our joint marketing efforts. What time works best for you?
11,11,Meeting @Mon,Hi.Monday should work well.
12,12,Get In Touch,"Thank you for getting in touch with us here! We are excited to learn more about your business. Do you have some free time next week, perhaps Tuesday or Wednesday?"
13,13,Welcome to our service,"Hello Mr. We hope to continue doing business with you in the future. Sincerely,"
14,14,Price Notice,"Hello Mr. Season tickets for this year's symphony are going on sale next month and we wanted you to be among the first to know. Sincerely,"
15,15,Thank you for purchase,"Dear Mr. Thank you for purchasing the starter pack of Agel. Sincerely,"
16,16,Marketing Discussion,Hi.Let's get on a call this Wednesday to discuss how we can improve our joint marketing efforts. What time works best for you?
17,17,Meeting @Mon,Hi.Monday should work well.
18,18,Get In Touch,"Thank you for getting in touch with us here! We are excited to learn more about your business. Do you have some free time next week, perhaps Tuesday or Wednesday?"
19,19,Welcome to our service,"Hello Mr. We hope to continue doing business with you in the future. Sincerely,"
20,20,Price Notice,"Hello Mr. Season tickets for this year's symphony are going on sale next month and we wanted you to be among the first to know. Sincerely,"
21,21,Thank you for purchase,"Dear Mr. Thank you for purchasing the starter pack of Agel. Sincerely,"
22,22,Marketing Discussion,Hi.Let's get on a call this Wednesday to discuss how we can improve our joint marketing efforts. What time works best for you?
23,23,Meeting @Mon,Hi.Monday should work well.
24,24,Get In Touch,"Thank you for getting in touch with us here! We are excited to learn more about your business. Do you have some free time next week, perhaps Tuesday or Wednesday?"
25,25,Welcome to our service,"Hello Mr. We hope to continue doing business with you in the future. Sincerely,"
26,26,Price Notice,"Hello Mr. Season tickets for this year's symphony are going on sale next month and we wanted you to be among the first to know. Sincerely,"
27,27,Thank you for purchase,"Dear Mr. Thank you for purchasing the starter pack of Agel. Sincerely,"
28,28,Marketing Discussion,Hi.Let's get on a call this Wednesday to discuss how we can improve our joint marketing efforts. What time works best for you?
29,29,Meeting @Mon,Hi.Monday should work well.
30,30,Get In Touch,"Thank you for getting in touch with us here! We are excited to learn more about your business. Do you have some free time next week, perhaps Tuesday or Wednesday?"
31,31,Welcome to our service,"Hello Mr. We hope to continue doing business with you in the future. Sincerely,"
32,32,Price Notice,"Hello Mr. Season tickets for this year's symphony are going on sale next month and we wanted you to be among the first to know. Sincerely,"
33,33,Thank you for purchase,"Dear Mr. Thank you for purchasing the starter pack of Agel. Sincerely,"
34,34,Marketing Discussion,Hi.Let's get on a call this Wednesday to discuss how we can improve our joint marketing efforts. What time works best for you?
35,35,Meeting @Mon,Hi.Monday should work well.
36,36,Get In Touch,"Thank you for getting in touch with us here! We are excited to learn more about your business. Do you have some free time next week, perhaps Tuesday or Wednesday?"
37,37,Welcome to our service,"Hello Mr. We hope to continue doing business with you in the future. Sincerely,"
38,38,Price Notice,"Hello Mr. Season tickets for this year's symphony are going on sale next month and we wanted you to be among the first to know. Sincerely,"
39,39,Thank you for purchase,"Dear Mr. Thank you for purchasing the starter pack of Agel. Sincerely,"
40,40,Marketing Discussion,Hi.Let's get on a call this Wednesday to discuss how we can improve our joint marketing efforts. What time works best for you?
41,41,Meeting @Mon,Hi.Monday should work well.
42,42,Get In Touch,"Thank you for getting in touch with us here! We are excited to learn more about your business. Do you have some free time next week, perhaps Tuesday or Wednesday?"
43,43,Welcome to our service,"Hello Mr. We hope to continue doing business with you in the future. Sincerely,"
44,44,Price Notice,"Hello Mr. Season tickets for this year's symphony are going on sale next month and we wanted you to be among the first to know. Sincerely,"
45,45,Thank you for purchase,"Dear Mr. Thank you for purchasing the starter pack of Agel. Sincerely,"
46,46,Marketing Discussion,Hi.Let's get on a call this Wednesday to discuss how we can improve our joint marketing efforts. What time works best for you?
47,47,Meeting @Mon,Hi.Monday should work well.
48,48,Get In Touch,"Thank you for getting in touch with us here! We are excited to learn more about your business. Do you have some free time next week, perhaps Tuesday or Wednesday?"
49,49,Welcome to our service,"Hello Mr. We hope to continue doing business with you in the future. Sincerely,"
50,50,Price Notice,"Hello Mr. Season tickets for this year's symphony are going on sale next month and we wanted you to be among the first to know. Sincerely,"
51,51,Thank you for purchase,"Dear Mr. Thank you for purchasing the starter pack of Agel. Sincerely,"
52,52,Marketing Discussion,Hi.Let's get on a call this Wednesday to discuss how we can improve our joint marketing efforts. What time works best for you?
53,53,Meeting @Mon,Hi.Monday should work well.
54,54,Get In Touch,"Thank you for getting in touch with us here! We are excited to learn more about your business. Do you have some free time next week, perhaps Tuesday or Wednesday?"
55,55,Welcome to our service,"Hello Mr. We hope to continue doing business with you in the future. Sincerely,"
56,56,Price Notice,"Hello Mr. Season tickets for this year's symphony are going on sale next month and we wanted you to be among the first to know. Sincerely,"
57,57,Thank you for purchase,"Dear Mr. Thank you for purchasing the starter pack of Agel. Sincerely,"
58,58,Marketing Discussion,Hi.Let's get on a call this Wednesday to discuss how we can improve our joint marketing efforts. What time works best for you?
59,59,Meeting @Mon,Hi.Monday should work well.
60,60,Get In Touch,"Thank you for getting in touch with us here! We are excited to learn more about your business. Do you have some free time next week, perhaps Tuesday or Wednesday?"
61,61,Welcome to our service,"Hello Mr. We hope to continue doing business with you in the future. Sincerely,"
62,62,Price Notice,"Hello Mr. Season tickets for this year's symphony are going on sale next month and we wanted you to be among the first to know. Sincerely,"
63,63,Thank you for purchase,"Dear Mr. Thank you for purchasing the starter pack of Agel. Sincerely,"
64,64,Marketing Discussion,Hi.Let's get on a call this Wednesday to discuss how we can improve our joint marketing efforts. What time works best for you?
65,65,Meeting @Mon,Hi.Monday should work well.
66,66,Get In Touch,"Thank you for getting in touch with us here! We are excited to learn more about your business. Do you have some free time next week, perhaps Tuesday or Wednesday?"
67,67,Welcome to our service,"Hello Mr. We hope to continue doing business with you in the future. Sincerely,"
68,68,Price Notice,"Hello Mr. Season tickets for this year's symphony are going on sale next month and we wanted you to be among the first to know. Sincerely,"
69,69,Thank you for purchase,"Dear Mr. Thank you for purchasing the starter pack of Agel. Sincerely,"
70,70,Marketing Discussion,Hi.Let's get on a call this Wednesday to discuss how we can improve our joint marketing efforts. What time works best for you?
71,71,Meeting @Mon,Hi.Monday should work well.
72,72,Get In Touch,"Thank you for getting in touch with us here! We are excited to learn more about your business. Do you have some free time next week, perhaps Tuesday or Wednesday?"
73,73,Welcome to our service,"Hello Mr. We hope to continue doing business with you in the future. Sincerely,"
74,74,Price Notice,"Hello Mr. Season tickets for this year's symphony are going on sale next month and we wanted you to be among the first to know. Sincerely,"
75,75,Thank you for purchase,"Dear Mr. Thank you for purchasing the starter pack of Agel. Sincerely,"
76,76,Marketing Discussion,Hi.Let's get on a call this Wednesday to discuss how we can improve our joint marketing efforts. What time works best for you?
77,77,Meeting @Mon,Hi.Monday should work well.
78,78,Get In Touch,"Thank you for getting in touch with us here! We are excited to learn more about your business. Do you have some free time next week, perhaps Tuesday or Wednesday?"
79,79,Welcome to our service,"Hello Mr. We hope to continue doing business with you in the future. Sincerely,"
80,80,Price Notice,"Hello Mr. Season tickets for this year's symphony are going on sale next month and we wanted you to be among the first to know. Sincerely,"
81,81,Thank you for purchase,"Dear Mr. Thank you for purchasing the starter pack of Agel. Sincerely,"
82,82,Marketing Discussion,Hi.Let's get on a call this Wednesday to discuss how we can improve our joint marketing efforts. What time works best for you?
83,83,Meeting @Mon,Hi.Monday should work well.
84,84,Get In Touch,"Thank you for getting in touch with us here! We are excited to learn more about your business. Do you have some free time next week, perhaps Tuesday or Wednesday?"
85,85,Welcome to our service,"Hello Mr. We hope to continue doing business with you in the future. Sincerely,"
86,86,Price Notice,"Hello Mr. Season tickets for this year's symphony are going on sale next month and we wanted you to be among the first to know. Sincerely,"
87,87,Thank you for purchase,"Dear Mr. Thank you for purchasing the starter pack of Agel. Sincerely,"
88,88,Marketing Discussion,Hi.Let's get on a call this Wednesday to discuss how we can improve our joint marketing efforts. What time works best for you?
89,89,Meeting @Mon,Hi.Monday should work well.
90,90,Get In Touch,"Thank you for getting in touch with us here! We are excited to learn more about your business. Do you have some free time next week, perhaps Tuesday or Wednesday?"
91,91,Welcome to our service,"Hello Mr. We hope to continue doing business with you in the future. Sincerely,"
92,92,Price Notice,"Hello Mr. Season tickets for this year's symphony are going on sale next month and we wanted you to be among the first to know. Sincerely,"
93,93,Thank you for purchase,"Dear Mr. Thank you for purchasing the starter pack of Agel. Sincerely,"
94,94,Marketing Discussion,Hi.Let's get on a call this Wednesday to discuss how we can improve our joint marketing efforts. What time works best for you?
