Uid,Account uid,Message
1,1,Big sales
2,2,Public Company
3,3,Big sales
4,4,Public Company
5,5,Privately Held
6,6,Commercial businesses
7,7,Partnership
8,8,Internet Public Company
9,9,Privately Held
10,21,Commercial businesses
11,23,Public Company
12,25,E-commerce partner
13,26,Public Company
14,28,Commercial businesses. Provides a broad range of service offerings
15,29,Privately Held
16,30,"Innovative product development, world class operations, Retail, Telephone Support"
17,31,Public Company
18,32,E-commerce partner
19,34,Public Company
20,35,Privately Held
21,36,Partnership
22,38,Public Company
