Uid,Contact uid,Subject,Body
1,1,Welcome to our service,"Hello Mr. We hope to continue doing business with you in the future. Sincerely,"
2,2,Price Notice,"Hello Mr. Season tickets for this year's symphony are going on sale next month and we wanted you to be among the first to know. Sincerely,"
3,3,Thank you for purchase,"Dear Mr. Thank you for purchasing the starter pack of Agel. Sincerely,"
4,4,Welcome to our service,"Hello Mr. We hope to continue doing business with you in the future. Sincerely,"
5,5,Price Notice,"Hello Mr. Season tickets for this year's symphony are going on sale next month and we wanted you to be among the first to know. Sincerely,"
6,6,Thank you for purchase,"Dear Mr. Thank you for purchasing the starter pack of Agel. Sincerely,"
7,7,Welcome to our service,"Hello Mr. We hope to continue doing business with you in the future. Sincerely,"
8,8,Price Notice,"Hello Mr. Season tickets for this year's symphony are going on sale next month and we wanted you to be among the first to know. Sincerely,"
9,9,Thank you for purchase,"Dear Mr. Thank you for purchasing the starter pack of Agel. Sincerely,"
10,10,Welcome to our service,"Hello Mr. We hope to continue doing business with you in the future. Sincerely,"
11,11,Price Notice,"Hello Mr. Season tickets for this year's symphony are going on sale next month and we wanted you to be among the first to know. Sincerely,"
12,12,Thank you for purchase,"Dear Mr. Thank you for purchasing the starter pack of Agel. Sincerely,"
13,13,Welcome to our service,"Hello Mr. We hope to continue doing business with you in the future. Sincerely,"
14,14,Price Notice,"Hello Mr. Season tickets for this year's symphony are going on sale next month and we wanted you to be among the first to know. Sincerely,"
15,15,Thank you for purchase,"Dear Mr. Thank you for purchasing the starter pack of Agel. Sincerely,"
16,16,Welcome to our service,"Hello Mr. We hope to continue doing business with you in the future. Sincerely,"
17,17,Price Notice,"Hello Mr. Season tickets for this year's symphony are going on sale next month and we wanted you to be among the first to know. Sincerely,"
18,18,Thank you for purchase,"Dear Mr. Thank you for purchasing the starter pack of Agel. Sincerely,"
19,19,Welcome to our service,"Hello Mr. We hope to continue doing business with you in the future. Sincerely,"
20,20,Price Notice,"Hello Mr. Season tickets for this year's symphony are going on sale next month and we wanted you to be among the first to know. Sincerely,"
21,21,Thank you for purchase,"Dear Mr. Thank you for purchasing the starter pack of Agel. Sincerely,"
22,22,Welcome to our service,"Hello Mr. We hope to continue doing business with you in the future. Sincerely,"
23,23,Price Notice,"Hello Mr. Season tickets for this year's symphony are going on sale next month and we wanted you to be among the first to know. Sincerely,"
24,24,Thank you for purchase,"Dear Mr. Thank you for purchasing the starter pack of Agel. Sincerely,"
25,25,Welcome to our service,"Hello Mr. We hope to continue doing business with you in the future. Sincerely,"
26,26,Price Notice,"Hello Mr. Season tickets for this year's symphony are going on sale next month and we wanted you to be among the first to know. Sincerely,"
27,27,Thank you for purchase,"Dear Mr. Thank you for purchasing the starter pack of Agel. Sincerely,"
28,28,Welcome to our service,"Hello Mr. We hope to continue doing business with you in the future. Sincerely,"
29,29,Price Notice,"Hello Mr. Season tickets for this year's symphony are going on sale next month and we wanted you to be among the first to know. Sincerely,"
30,30,Thank you for purchase,"Dear Mr. Thank you for purchasing the starter pack of Agel. Sincerely,"
31,31,Welcome to our service,"Hello Mr. We hope to continue doing business with you in the future. Sincerely,"
32,32,Price Notice,"Hello Mr. Season tickets for this year's symphony are going on sale next month and we wanted you to be among the first to know. Sincerely,"
33,33,Thank you for purchase,"Dear Mr. Thank you for purchasing the starter pack of Agel. Sincerely,"
34,34,Welcome to our service,"Hello Mr. We hope to continue doing business with you in the future. Sincerely,"
35,35,Price Notice,"Hello Mr. Season tickets for this year's symphony are going on sale next month and we wanted you to be among the first to know. Sincerely,"
36,36,Thank you for purchase,"Dear Mr. Thank you for purchasing the starter pack of Agel. Sincerely,"
37,37,Welcome to our service,"Hello Mr. We hope to continue doing business with you in the future. Sincerely,"
38,38,Price Notice,"Hello Mr. Season tickets for this year's symphony are going on sale next month and we wanted you to be among the first to know. Sincerely,"
39,39,Thank you for purchase,"Dear Mr. Thank you for purchasing the starter pack of Agel. Sincerely,"
40,40,Welcome to our service,"Hello Mr. We hope to continue doing business with you in the future. Sincerely,"
41,41,Price Notice,"Hello Mr. Season tickets for this year's symphony are going on sale next month and we wanted you to be among the first to know. Sincerely,"
42,42,Thank you for purchase,"Dear Mr. Thank you for purchasing the starter pack of Agel. Sincerely,"
43,43,Welcome to our service,"Hello Mr. We hope to continue doing business with you in the future. Sincerely,"
44,44,Price Notice,"Hello Mr. Season tickets for this year's symphony are going on sale next month and we wanted you to be among the first to know. Sincerely,"
45,45,Thank you for purchase,"Dear Mr. Thank you for purchasing the starter pack of Agel. Sincerely,"
46,46,Welcome to our service,"Hello Mr. We hope to continue doing business with you in the future. Sincerely,"
47,47,Price Notice,"Hello Mr. Season tickets for this year's symphony are going on sale next month and we wanted you to be among the first to know. Sincerely,"
48,48,Thank you for purchase,"Dear Mr. Thank you for purchasing the starter pack of Agel. Sincerely,"
49,49,Welcome to our service,"Hello Mr. We hope to continue doing business with you in the future. Sincerely,"
50,50,Price Notice,"Hello Mr. Season tickets for this year's symphony are going on sale next month and we wanted you to be among the first to know. Sincerely,"
51,51,Thank you for purchase,"Dear Mr. Thank you for purchasing the starter pack of Agel. Sincerely,"
52,52,Welcome to our service,"Hello Mr. We hope to continue doing business with you in the future. Sincerely,"
53,53,Price Notice,"Hello Mr. Season tickets for this year's symphony are going on sale next month and we wanted you to be among the first to know. Sincerely,"
54,54,Thank you for purchase,"Dear Mr. Thank you for purchasing the starter pack of Agel. Sincerely,"
55,55,Welcome to our service,"Hello Mr. We hope to continue doing business with you in the future. Sincerely,"
56,56,Price Notice,"Hello Mr. Season tickets for this year's symphony are going on sale next month and we wanted you to be among the first to know. Sincerely,"
57,57,Thank you for purchase,"Dear Mr. Thank you for purchasing the starter pack of Agel. Sincerely,"
58,58,Welcome to our service,"Hello Mr. We hope to continue doing business with you in the future. Sincerely,"
59,59,Price Notice,"Hello Mr. Season tickets for this year's symphony are going on sale next month and we wanted you to be among the first to know. Sincerely,"
60,60,Thank you for purchase,"Dear Mr. Thank you for purchasing the starter pack of Agel. Sincerely,"
61,61,Welcome to our service,"Hello Mr. We hope to continue doing business with you in the future. Sincerely,"
62,62,Price Notice,"Hello Mr. Season tickets for this year's symphony are going on sale next month and we wanted you to be among the first to know. Sincerely,"
63,63,Thank you for purchase,"Dear Mr. Thank you for purchasing the starter pack of Agel. Sincerely,"
64,64,Welcome to our service,"Hello Mr. We hope to continue doing business with you in the future. Sincerely,"
65,65,Price Notice,"Hello Mr. Season tickets for this year's symphony are going on sale next month and we wanted you to be among the first to know. Sincerely,"
66,66,Thank you for purchase,"Dear Mr. Thank you for purchasing the starter pack of Agel. Sincerely,"
67,67,Welcome to our service,"Hello Mr. We hope to continue doing business with you in the future. Sincerely,"
68,68,Price Notice,"Hello Mr. Season tickets for this year's symphony are going on sale next month and we wanted you to be among the first to know. Sincerely,"
69,69,Thank you for purchase,"Dear Mr. Thank you for purchasing the starter pack of Agel. Sincerely,"
