Uid,Contact uid,Subject,Body
1,1,Items Left in Cart,Hi.I noticed that you were looking to purchase the following item: Sony 30 HDTV.Are you still looking to purchase this product?
2,2,How did you like your new sparring gear?,Hi.I hope you have enjoyed your new sparring gear!
3,3,Marketing Discussion,Hi.Let's get on a call this Wednesday to discuss how we can improve our joint marketing efforts. What time works best for you?
4,4,Meeting @Mon,Hi.Monday should work well.
5,5,Get In Touch,"Thank you for getting in touch with us here! We are excited to learn more about your business. Do you have some free time next week, perhaps Tuesday or Wednesday?"
6,6,Items Left in Cart,Hi.I noticed that you were looking to purchase the following item: Sony 30 HDTV.Are you still looking to purchase this product?
7,7,How did you like your new sparring gear?,Hi.I hope you have enjoyed your new sparring gear!
8,8,Marketing Discussion,Hi.Let's get on a call this Wednesday to discuss how we can improve our joint marketing efforts. What time works best for you?
9,9,Meeting @Mon,Hi.Monday should work well.
10,10,Get In Touch,"Thank you for getting in touch with us here! We are excited to learn more about your business. Do you have some free time next week, perhaps Tuesday or Wednesday?"
11,11,Items Left in Cart,Hi.I noticed that you were looking to purchase the following item: Sony 30 HDTV.Are you still looking to purchase this product?
12,12,How did you like your new sparring gear?,Hi.I hope you have enjoyed your new sparring gear!
13,13,Marketing Discussion,Hi.Let's get on a call this Wednesday to discuss how we can improve our joint marketing efforts. What time works best for you?
14,14,Meeting @Mon,Hi.Monday should work well.
15,15,Get In Touch,"Thank you for getting in touch with us here! We are excited to learn more about your business. Do you have some free time next week, perhaps Tuesday or Wednesday?"
16,16,Items Left in Cart,Hi.I noticed that you were looking to purchase the following item: Sony 30 HDTV.Are you still looking to purchase this product?
17,17,How did you like your new sparring gear?,Hi.I hope you have enjoyed your new sparring gear!
18,18,Marketing Discussion,Hi.Let's get on a call this Wednesday to discuss how we can improve our joint marketing efforts. What time works best for you?
19,19,Meeting @Mon,Hi.Monday should work well.
20,20,Get In Touch,"Thank you for getting in touch with us here! We are excited to learn more about your business. Do you have some free time next week, perhaps Tuesday or Wednesday?"
21,21,Items Left in Cart,Hi.I noticed that you were looking to purchase the following item: Sony 30 HDTV.Are you still looking to purchase this product?
22,22,How did you like your new sparring gear?,Hi.I hope you have enjoyed your new sparring gear!
23,23,Marketing Discussion,Hi.Let's get on a call this Wednesday to discuss how we can improve our joint marketing efforts. What time works best for you?
24,24,Meeting @Mon,Hi.Monday should work well.
25,25,Get In Touch,"Thank you for getting in touch with us here! We are excited to learn more about your business. Do you have some free time next week, perhaps Tuesday or Wednesday?"
26,26,Items Left in Cart,Hi.I noticed that you were looking to purchase the following item: Sony 30 HDTV.Are you still looking to purchase this product?
27,27,How did you like your new sparring gear?,Hi.I hope you have enjoyed your new sparring gear!
28,28,Marketing Discussion,Hi.Let's get on a call this Wednesday to discuss how we can improve our joint marketing efforts. What time works best for you?
29,29,Meeting @Mon,Hi.Monday should work well.
30,30,Get In Touch,"Thank you for getting in touch with us here! We are excited to learn more about your business. Do you have some free time next week, perhaps Tuesday or Wednesday?"
31,31,Items Left in Cart,Hi.I noticed that you were looking to purchase the following item: Sony 30 HDTV.Are you still looking to purchase this product?
32,32,How did you like your new sparring gear?,Hi.I hope you have enjoyed your new sparring gear!
33,33,Marketing Discussion,Hi.Let's get on a call this Wednesday to discuss how we can improve our joint marketing efforts. What time works best for you?
34,34,Meeting @Mon,Hi.Monday should work well.
