Uid,Account uid,Subject,Body
1,32,Welcome to our service,"Hello Mr. We hope to continue doing business with you in the future. Sincerely,"
2,32,Price Notice,"Hello Mr. Season tickets for this year's symphony are going on sale next month and we wanted you to be among the first to know. Sincerely,"
3,33,Thank you for purchase,"Dear Mr. Thank you for purchasing the starter pack of Agel. Sincerely,"
4,34,Welcome to our service,"Hello Mr. We hope to continue doing business with you in the future. Sincerely,"
5,34,Price Notice,"Hello Mr. Season tickets for this year's symphony are going on sale next month and we wanted you to be among the first to know. Sincerely,"
6,35,Thank you for purchase,"Dear Mr. Thank you for purchasing the starter pack of Agel. Sincerely,"
7,35,Welcome to our service,"Hello Mr. We hope to continue doing business with you in the future. Sincerely,"
8,36,Price Notice,"Hello Mr. Season tickets for this year's symphony are going on sale next month and we wanted you to be among the first to know. Sincerely,"
9,36,Thank you for purchase,"Dear Mr. Thank you for purchasing the starter pack of Agel. Sincerely,"
10,37,Welcome to our service,"Hello Mr. We hope to continue doing business with you in the future. Sincerely,"
11,37,Price Notice,"Hello Mr. Season tickets for this year's symphony are going on sale next month and we wanted you to be among the first to know. Sincerely,"
12,38,Thank you for purchase,"Dear Mr. Thank you for purchasing the starter pack of Agel. Sincerely,"
13,39,Welcome to our service,"Hello Mr. We hope to continue doing business with you in the future. Sincerely,"
14,40,Price Notice,"Hello Mr. Season tickets for this year's symphony are going on sale next month and we wanted you to be among the first to know. Sincerely,"
15,41,Thank you for purchase,"Dear Mr. Thank you for purchasing the starter pack of Agel. Sincerely,"
16,41,Welcome to our service,"Hello Mr. We hope to continue doing business with you in the future. Sincerely,"
17,42,Price Notice,"Hello Mr. Season tickets for this year's symphony are going on sale next month and we wanted you to be among the first to know. Sincerely,"
18,43,Thank you for purchase,"Dear Mr. Thank you for purchasing the starter pack of Agel. Sincerely,"
19,44,Welcome to our service,"Hello Mr. We hope to continue doing business with you in the future. Sincerely,"
20,45,Price Notice,"Hello Mr. Season tickets for this year's symphony are going on sale next month and we wanted you to be among the first to know. Sincerely,"
21,46,Thank you for purchase,"Dear Mr. Thank you for purchasing the starter pack of Agel. Sincerely,"
22,47,Welcome to our service,"Hello Mr. We hope to continue doing business with you in the future. Sincerely,"
23,48,Price Notice,"Hello Mr. Season tickets for this year's symphony are going on sale next month and we wanted you to be among the first to know. Sincerely,"
24,48,Thank you for purchase,"Dear Mr. Thank you for purchasing the starter pack of Agel. Sincerely,"
25,49,Welcome to our service,"Hello Mr. We hope to continue doing business with you in the future. Sincerely,"
26,49,Price Notice,"Hello Mr. Season tickets for this year's symphony are going on sale next month and we wanted you to be among the first to know. Sincerely,"
27,50,Thank you for purchase,"Dear Mr. Thank you for purchasing the starter pack of Agel. Sincerely,"
28,50,Welcome to our service,"Hello Mr. We hope to continue doing business with you in the future. Sincerely,"
